Weight,        Units,        Time_of_the_day,        Date,
175.0,         lbs,          Morning,                29-JAN-2015
175.4,         lbs,          Morning,                30-JAN-2015
174.0,         lbs,          Morning,                03-FEB-2015
175.0,         lbs,          Morning,                04-FEB-2015
172.6,         lbs,          Morning,                05-FEB-2015
174.4,         lbs,          Morning,                10-FEB-2015
174.0,         lbs,          Morning,                27-FEB-2015
177.8,         lbs,          Morning,                05-MAR-2015
177.8,         lbs,          Morning,                10-MAR-2015
